DATEEND,DRNUMB,TIMESTART,TIMEEND,ADDRESS,CODE_DEFINED,Arrest,LarcenyCode,ObjectID
2022/01/31 00:00:00+00,22141137,1915,1915,300 N  CLINTON ST,BURGLARY,,All Other,11444
2022/02/02 00:00:00+00,22900099,0139,0143,300 N  EDWARDS AV,LARCENY,,From Motor Vehicle,11445
2022/03/20 00:00:00+00,22900190,0120,0808,300 N  LOWELL AVE,LARCENY,,From Motor Vehicle,11446
2022/01/13 00:00:00+00,22116051,1800,0715,300 N  MIDLER AV,LARCENY,,From Motor Vehicle,11447
2022/01/31 00:00:00+00,22140130,1700,1000,300 N  MIDLER AV,BURGLARY,,From Building,11448
2022/03/14 00:00:00+00,22200267,1045,1045,300 N  SALINA ST,MV THEFT,,,11449
2022/01/13 00:00:00+00,22116852,2030,2030,300 OSTROM AV,BURGLARY,Yes,All Other,11450
2022/03/23 00:00:00+00,22900201,0000,0100,300 OSTROM AV,LARCENY,,From Motor Vehicle,11451
2022/01/13 00:00:00+00,22116612,1627,1627,300 OTISCO ST,AGGRAVATED ASSAULT,Yes,,11452
2022/02/04 00:00:00+00,22149503,1700,0900,300 PALMER AV,LARCENY,,From Building,11453
2022/04/03 00:00:00+00,22230897,2100,1130,300 PARK ST,BURGLARY,,,11454
2022/02/25 00:00:00+00,22175643,2330,0010,300 PARK ST,MV THEFT,,Motor Vehicle,11455
2022/01/16 00:00:00+00,22122220,0329,0329,300 POND ST,LARCENY,Yes,From Building,11456
2022/04/03 00:00:00+00,22230732,1630,1000,300 POND ST,LARCENY,,From Motor Vehicle,11457
2022/02/15 00:00:00+00,22162446,1825,1825,300 POND ST,AGGRAVATED ASSAULT,Yes,,11458
2022/03/07 00:00:00+00,22189965,2000,0700,300 POND ST,BURGLARY,,From Building,11459
2022/03/20 00:00:00+00,22226408,1200,1200,300 PRIMROSE,LARCENY,,From Mailbox,11460
2022/01/27 00:00:00+00,22134880,0752,0752,300 PRIMROSE AV,AGGRAVATED ASSAULT,Yes,,11461
2022/04/01 00:00:00+00,22228283,1620,1622,300 PRIMROSE AV,BURGLARY,Yes,From Building,11462
2022/01/01 00:00:00+00,22101201,0328,0328,300 PRIMROSE AV,AGGRAVATED ASSAULT,,,11463
2022/02/02 00:00:00+00,22142840,0026,0026,300 PROSPECT AV,LARCENY,,All Other,11464
2022/02/09 00:00:00+00,22900100,1602,1602,300 PROSPECT AV,LARCENY,,From Motor Vehicle,11465
2022/02/02 00:00:00+00,22143636,1430,1430,300 PROSPECT AV,AGGRAVATED ASSAULT,Yes,,11466
2022/02/21 00:00:00+00,22170787,1700,1700,300 PULASKI ST,MV THEFT,,Motor Vehicle,11467
2022/03/25 00:00:00+00,22217886,1630,1630,300 RICHMOND AV,AGGRAVATED ASSAULT,Yes,,11468
2022/02/18 00:00:00+00,22166566,1523,1523,300 RIEGEL ST,MV THEFT,,Motor Vehicle,11469
2022/02/03 00:00:00+00,22144625,0356,0356,300 ROBINSON ST,BURGLARY,,,11470
2022/03/27 00:00:00+00,22220046,0145,0145,300 S  CLINTON ST,AGGRAVATED ASSAULT,,,11471
2022/02/08 00:00:00+00,22151487,0055,0055,300 S  CLINTON ST,ROBBERY,,From Building,11472
2022/02/09 00:00:00+00,22152931,0125,0125,300 S  CLINTON ST,MV THEFT,,Motor Vehicle,11473
2022/01/08 00:00:00+00,22900030,2300,0200,300 S  CLINTON ST,LARCENY,,All Other,11474
2022/01/03 00:00:00+00,22104459,2232,2232,300 S  LOWELL AV,ROBBERY,Yes,All Other,11475
2022/02/14 00:00:00+00,22160051,0430,0430,300 S  LOWELL AV,BURGLARY,,,11476
2022/01/14 00:00:00+00,22118098,1848,1848,300 S  SALINA ST,LARCENY,,Shoplifting,11477
2022/02/03 00:00:00+00,22146554,1400,1630,300 S  SALINA ST,LARCENY,Yes,From Motor Vehicle,11478
2022/01/08 00:00:00+00,22110258,1123,1123,300 S  SALINA ST,ROBBERY,Yes,,11479
2022/01/10 00:00:00+00,22113269,2248,2248,300 S  WARREN ST,ROBBERY,,All Other,11480
2022/02/02 00:00:00+00,22145660,0001,2100,300 S  WARREN ST,LARCENY,,Of Bicycle,11481
2022/01/31 00:00:00+00,22140963,1919,1919,300 S  WARREN ST,LARCENY,,Shoplifting,11482
2022/04/03 00:00:00+00,22231344,2140,2140,300 S SALINA ST,LARCENY,Yes,From Motor Vehicle,11483
2022/01/04 00:00:00+00,22105710,1500,2200,300 SCHUYLER ST,BURGLARY,,All Other,11484
